time,累计流量(立方米),化学需氧量(毫克/升)监测值,化学需氧量排放量（千克）,氨氮(毫克/升)监测值,氨氮排放量(千克),总氮(毫克/升)监测值,总氮排放量(千克),总磷(毫克/升)监测值,总磷排放量(千克),累计流量(立方米).1,pH监测最小值,pH监测平均值,pH监测最大值,化学需氧量(毫克/升)监测值.1,化学需氧量排放量（千克）.1,氨氮(毫克/升)监测值.1,氨氮排放量（千克）,总氮(毫克/升)监测值.1,总氮排放量（千克）,总磷(毫克/升)监测值.1,总磷排放量（千克）,水温(摄氏度)监测最小值,水温(摄氏度)监测平均值,水温(摄氏度)监测最大值,anomaly
2024-06-22 00,985.178,274,269.939,27.81,27.398,56.916,56.072,2.52,2.483,911.382,7.184,7.184,7.184,14,12.759,0.5,0.456,7.842,7.147,0.18,0.164,25.091,25.091,25.091,
2024-06-21 23,999.548,221,220.9,27.62,27.608,57.689,57.663,2.48,2.479,979.881,7.135,7.135,7.135,13,12.738,0.48,0.47,7.986,7.825,0.16,0.157,25.144,25.144,25.144,
2024-06-21 22,1006.697,221,222.48,27.62,27.805,57.689,58.075,2.48,2.497,967.936,7.164,7.164,7.164,13,12.583,0.48,0.465,7.986,7.73,0.16,0.155,25.168,25.168,25.168,
2024-06-21 21,1002.36,388,388.916,28.16,28.226,55.084,55.214,2.56,2.566,973.734,7.173,7.173,7.173,15,14.606,0.45,0.438,8.047,7.836,0.18,0.175,25.219,25.219,25.219,
2024-06-21 20,999.005,388,387.614,28.16,28.132,55.084,55.029,2.56,2.557,971.371,7.184,7.184,7.184,15,14.571,0.45,0.437,8.047,7.817,0.18,0.175,25.247,25.247,25.247,
2024-06-21 19,998.137,206,205.616,29.32,29.265,58.236,58.128,2.56,2.555,977.159,7.174,7.174,7.174,13,12.703,0.43,0.42,7.941,7.76,0.17,0.166,25.303,25.303,25.303,
2024-06-21 18,1011.295,206,208.327,29.32,29.651,58.236,58.894,2.56,2.589,999.161,7.191,7.191,7.191,13,12.989,0.43,0.43,7.941,7.934,0.17,0.17,25.326,25.326,25.326,
2024-06-21 17,1016.714,213,216.56,31.45,31.976,55.014,55.934,2.41,2.45,1018.781,7.165,7.165,7.165,10,10.188,0.38,0.387,8.316,8.472,0.18,0.183,25.325,25.325,25.325,
2024-06-21 16,1012.813,213,215.729,31.45,31.853,55.014,55.719,2.41,2.441,987.079,7.176,7.176,7.176,10,9.871,0.38,0.375,8.316,8.209,0.18,0.178,25.296,25.296,25.296,
2024-06-21 15,1008.869,219,220.942,32.56,32.849,58.571,59.09,2.63,2.653,1012.594,7.174,7.174,7.174,15,15.189,0.45,0.456,8.452,8.558,0.16,0.162,25.273,25.273,25.273,
2024-06-21 14,1003.699,219,219.81,32.56,32.68,58.571,58.788,2.63,2.64,1011.218,7.15,7.15,7.15,15,15.168,0.45,0.455,8.452,8.547,0.16,0.162,25.245,25.245,25.245,
2024-06-21 13,996.106,225,224.124,34.23,34.097,55.102,54.887,3.47,3.456,1006.188,7.15,7.15,7.15,15,15.093,0.47,0.473,8.324,8.376,0.18,0.181,25.215,25.215,25.215,
2024-06-21 12,990.522,225,222.867,34.23,33.906,55.102,54.58,3.47,3.437,996.75,7.146,7.146,7.146,15,14.951,0.47,0.468,8.324,8.297,0.18,0.179,25.218,25.218,25.218,
2024-06-21 11,757.895,235,178.105,35.11,26.61,56.188,42.585,3.3,2.501,838.713,7.131,7.131,7.131,16,13.419,0.42,0.352,7.787,6.531,0.17,0.143,25.22,25.22,25.22,
2024-06-21 10,957.546,235,225.023,35.11,33.619,56.188,53.803,3.3,3.16,960.505,7.131,7.131,7.131,16,15.368,0.42,0.403,7.787,7.479,0.17,0.163,25.22,25.22,25.22,
2024-06-21 09,947.899,235,222.756,34.8,32.987,57.507,54.511,3.31,3.138,943.355,7.102,7.102,7.102,16,15.094,0.39,0.368,7.942,7.492,0.16,0.151,25.219,25.219,25.219,
2024-06-21 08,951.191,235,223.53,34.8,33.101,57.507,54.7,3.31,3.148,928.235,7.103,7.103,7.103,16,14.852,0.39,0.362,7.942,7.372,0.16,0.149,25.218,25.218,25.218,
2024-06-21 07,948.916,338,320.734,32.74,31.068,55.813,52.962,3.61,3.426,893.128,7.1,7.1,7.1,16,14.29,0.32,0.286,7.953,7.103,0.18,0.161,25.214,25.214,25.214,
2024-06-21 06,898.997,338,303.861,32.74,29.433,55.813,50.176,3.61,3.245,858.908,7.112,7.112,7.112,16,13.743,0.32,0.275,7.953,6.831,0.18,0.155,25.217,25.217,25.217,
2024-06-21 05,890.946,224,199.572,29.51,26.292,56.391,50.241,3.22,2.869,852.389,7.15,7.15,7.15,17,14.491,0.42,0.358,7.84,6.683,0.16,0.136,25.218,25.218,25.218,
2024-06-21 04,890.366,224,199.442,29.51,26.275,56.391,50.209,3.22,2.867,855.517,7.117,7.117,7.117,17,14.544,0.42,0.359,7.84,6.707,0.16,0.137,25.214,25.214,25.214,
2024-06-21 03,895.814,219,196.183,28.28,25.334,54.768,49.062,3.14,2.813,860.74,7.102,7.102,7.102,13,11.19,0.47,0.405,7.725,6.649,0.17,0.146,25.247,25.247,25.247,
2024-06-21 02,912.071,219,199.744,28.28,25.793,54.768,49.952,3.14,2.864,892.161,7.086,7.086,7.086,13,11.598,0.47,0.419,7.725,6.892,0.17,0.152,25.272,25.272,25.272,
2024-06-21 01,939.478,221,207.625,24.63,23.139,57.189,53.728,2.85,2.678,933.828,7.083,7.083,7.083,13,12.14,0.36,0.336,7.693,7.184,0.16,0.149,25.299,25.299,25.299,
2024-06-21 00,966.064,221,213.5,24.63,23.794,57.189,55.248,2.85,2.753,933.125,7.143,7.143,7.143,13,12.131,0.36,0.336,7.693,7.179,0.16,0.149,25.351,25.351,25.351,
2024-06-20 23,984.949,224,220.629,22.87,22.526,59.095,58.206,2.38,2.344,515.072,7.194,7.194,7.194,15,7.726,0.39,0.201,7.861,4.049,0.18,0.093,25.406,25.406,25.406,
2024-06-20 22,109.43,224,24.512,22.87,2.503,59.095,6.467,2.38,0.26,151.358,7.2,7.2,7.2,15,2.27,0.39,0.059,7.861,1.19,0.18,0.027,25.382,25.382,25.382,
2024-06-20 21,690.44,224,154.659,21.18,14.624,56.376,38.924,1.97,1.36,863.239,7.335,7.335,7.335,17,14.675,0.44,0.38,7.787,6.722,0.16,0.138,25.455,25.455,25.455,
2024-06-20 20,977.021,224,218.853,21.18,20.693,56.376,55.081,1.97,1.925,917.612,7.187,7.187,7.187,17,15.599,0.44,0.404,7.787,7.145,0.16,0.147,25.479,25.479,25.479,
2024-06-20 19,984.858,226,222.578,22.65,22.307,53.951,53.134,1.71,1.684,943.393,7.195,7.195,7.195,16,15.094,0.32,0.302,7.347,6.931,0.17,0.16,25.524,25.524,25.524,
2024-06-20 18,993.303,226,224.486,22.26,22.111,53.951,53.59,1.71,1.699,971.969,7.205,7.205,7.205,16,15.552,0.32,0.311,7.347,7.141,0.17,0.165,25.578,25.578,25.578,
2024-06-20 17,985.018,279,274.82,22.26,21.927,55.067,54.242,1.75,1.724,982.749,7.207,7.207,7.207,11,10.81,0.27,0.265,7.466,7.337,0.16,0.157,25.678,25.678,25.678,
2024-06-20 16,819.572,279,228.661,22.26,18.244,55.067,45.131,1.75,1.434,843.228,7.219,7.219,7.219,11,9.276,0.27,0.228,7.466,6.296,0.16,0.135,25.758,25.758,25.758,
2024-06-20 15,972.837,215,209.16,25.23,24.545,55.542,54.033,1.73,1.683,1000.168,7.205,7.205,7.205,16,16.003,0.3,0.3,7.54,7.541,0.18,0.18,25.748,25.748,25.748,
2024-06-20 14,950.441,215,204.345,25.23,23.98,55.542,52.789,1.73,1.644,982.572,7.204,7.204,7.204,16,15.721,0.3,0.295,7.54,7.409,0.18,0.177,25.7,25.7,25.7,
2024-06-20 13,946.963,205,194.127,27.23,25.786,54.736,51.833,1.63,1.544,940.997,7.21,7.21,7.21,17,15.997,0.27,0.254,7.696,7.242,0.16,0.151,25.598,25.598,25.598,
2024-06-20 12,940.643,205,192.832,27.23,25.614,54.736,51.487,1.63,1.533,927.39,7.204,7.204,7.204,17,15.766,0.27,0.25,7.696,7.137,0.16,0.148,25.47,25.47,25.47,
2024-06-20 11,941.974,211,198.757,28.81,27.138,55.434,52.217,0.8,0.754,935.905,7.184,7.184,7.184,11,10.295,0.34,0.318,8.212,7.686,0.17,0.159,25.317,25.317,25.317,
2024-06-20 10,996.37,211,210.234,28.81,28.705,55.434,55.233,0.8,0.797,962.494,7.184,7.184,7.184,11,10.587,0.34,0.327,8.212,7.904,0.17,0.164,25.162,25.162,25.162,
2024-06-20 09,988.965,201,198.782,29.43,29.105,53.109,52.523,0.9,0.89,983.505,7.165,7.165,7.165,12,11.802,0.37,0.364,8.624,8.482,0.16,0.157,25.029,25.029,25.029,
2024-06-20 08,983.663,201,197.716,29.43,28.949,53.109,52.241,0.9,0.885,984.721,7.156,7.156,7.156,12,11.817,0.37,0.364,8.624,8.492,0.16,0.158,24.98,24.98,24.98,
2024-06-20 07,977.924,212,207.32,29.91,29.25,56.3,55.057,0.94,0.919,945.743,7.146,7.146,7.146,13,12.295,0.4,0.378,8.694,8.222,0.18,0.17,24.957,24.957,24.957,
2024-06-20 06,927.446,212,196.619,29.91,27.74,56.3,52.215,0.94,0.872,921.746,7.15,7.15,7.15,13,11.983,0.4,0.369,8.694,8.014,0.18,0.166,24.957,24.957,24.957,
2024-06-20 05,932.715,215,200.534,29.94,27.925,55.663,51.918,0.92,0.858,918.116,7.16,7.16,7.16,14,12.854,0.38,0.349,8.73,8.015,0.16,0.147,24.981,24.981,24.981,
2024-06-20 04,940.161,215,202.135,29.94,28.148,55.663,52.332,0.92,0.865,935.918,7.149,7.149,7.149,14,13.103,0.38,0.356,8.73,8.171,0.16,0.15,25.009,25.009,25.009,
2024-06-20 03,946.2,242,228.98,28.11,26.598,54.081,51.171,1.19,1.126,939.815,7.145,7.145,7.145,10,9.398,0.42,0.395,8.479,7.969,0.17,0.16,25.034,25.034,25.034,
2024-06-20 02,951.544,242,230.274,28.11,26.748,54.081,51.46,1.19,1.132,950.022,7.131,7.131,7.131,10,9.5,0.42,0.399,8.479,8.055,0.17,0.162,25.063,25.063,25.063,
2024-06-20 01,955.021,220,210.105,27.93,26.674,55.63,53.128,1.04,0.993,957.089,7.145,7.145,7.145,12,11.485,0.36,0.345,8.152,7.802,0.16,0.153,25.087,25.087,25.087,
2024-06-20 00,955.552,220,210.221,27.93,26.689,55.63,53.157,1.04,0.994,895.292,7.146,7.146,7.146,12,10.744,0.36,0.322,8.152,7.298,0.16,0.143,25.112,25.112,25.112,
2024-06-19 23,1008.807,360,363.171,25.41,25.634,54.215,54.692,1.06,1.069,859.193,7.166,7.166,7.166,16,13.747,0.43,0.369,7.877,6.768,0.17,0.146,25.138,25.138,25.138,
2024-06-19 22,1063.946,360,383.021,25.41,27.035,54.215,57.682,1.06,1.128,973.917,7.175,7.175,7.175,16,15.583,0.43,0.419,7.877,7.672,0.17,0.166,25.162,25.162,25.162,
2024-06-19 21,987.164,232,229.022,22.15,21.866,55.348,54.638,0.98,0.967,978.416,7.156,7.156,7.156,14,13.698,0.35,0.342,7.904,7.733,0.16,0.157,25.222,25.222,25.222,
2024-06-19 20,935.695,232,217.081,22.15,20.726,55.348,51.789,0.98,0.917,995.277,7.167,7.167,7.167,14,13.934,0.35,0.348,7.904,7.867,0.16,0.159,25.24,25.24,25.24,
2024-06-19 19,939.604,221,207.652,24.46,22.983,54.84,51.528,0.95,0.893,964.066,7.18,7.18,7.18,14,13.497,0.3,0.289,7.94,7.655,0.18,0.174,25.291,25.291,25.291,
2024-06-19 18,1000.023,221,221.005,24.46,24.461,54.84,54.841,0.95,0.95,973.525,7.194,7.194,7.194,14,13.629,0.3,0.292,7.94,7.73,0.18,0.175,25.315,25.315,25.315,
2024-06-19 17,979.492,227,222.345,23.68,23.194,56.144,54.993,0.94,0.921,985.466,7.2,7.2,7.2,15,14.782,0.37,0.365,7.747,7.634,0.16,0.158,25.372,25.372,25.372,
2024-06-19 16,967.931,227,219.72,23.68,22.921,56.144,54.344,0.94,0.91,975.313,7.203,7.203,7.203,15,14.63,0.37,0.361,7.747,7.556,0.16,0.156,25.397,25.397,25.397,
2024-06-19 15,836.539,227,189.894,25.65,21.457,55.467,46.4,1.36,1.138,759.331,7.214,7.214,7.214,12,9.112,0.32,0.243,7.752,5.886,0.17,0.129,25.391,25.391,25.391,
2024-06-19 14,964.77,227,219.003,25.65,24.746,55.467,53.513,1.36,1.312,971.971,7.223,7.223,7.223,12,11.664,0.32,0.311,7.752,7.535,0.17,0.165,25.366,25.366,25.366,
2024-06-19 13,966.841,227,219.473,26.67,25.786,54.361,52.558,4.39,4.244,962.743,7.204,7.204,7.204,14,13.478,0.34,0.327,7.801,7.51,0.16,0.154,25.265,25.265,25.265,
2024-06-19 12,978.009,227,222.008,37.08,36.265,54.361,53.166,4.39,4.293,967.194,7.221,7.221,7.221,14,13.541,0.34,0.329,8.048,7.784,0.18,0.174,25.211,25.211,25.211,
2024-06-19 11,782.05,221,172.833,37.66,29.452,52.366,40.953,3.73,2.917,729.366,7.204,7.204,7.204,12,8.752,0.41,0.299,8.048,5.87,0.18,0.131,25.134,25.134,25.134,
2024-06-19 10,770.965,221,170.383,37.66,29.035,52.366,40.372,3.73,2.876,708.079,7.116,7.116,7.116,12,8.497,0.41,0.29,8.048,5.699,0.18,0.127,25.111,25.111,25.111,
2024-06-19 09,997.726,232,231.472,38.26,38.173,53.443,53.321,4.49,4.48,929.167,7.156,7.156,7.156,16,14.867,0.31,0.288,8.209,7.628,0.16,0.149,25.008,25.008,25.008,
2024-06-19 08,981.611,232,227.734,38.26,37.556,53.443,52.46,4.49,4.407,940.514,7.179,7.179,7.179,16,15.048,0.31,0.292,8.209,7.721,0.16,0.15,24.981,24.981,24.981,
2024-06-19 07,980.908,223,218.742,35.48,34.803,54.068,53.036,4.69,4.6,1027.778,7.159,7.159,7.159,18,18.5,0.46,0.473,8.725,8.967,0.17,0.175,24.958,24.958,24.958,
2024-06-19 06,993.972,223,221.656,35.48,35.266,54.068,53.742,4.69,4.662,987.869,7.13,7.13,7.13,18,17.782,0.46,0.454,8.725,8.619,0.17,0.168,24.958,24.958,24.958,
2024-06-19 05,996.023,270,268.926,37.52,37.371,57.137,56.91,4.77,4.751,930.557,7.146,7.146,7.146,16,14.889,0.32,0.298,9.19,8.552,0.16,0.149,24.957,24.957,24.957,
2024-06-19 04,995.144,270,268.689,37.52,37.338,57.137,56.86,4.77,4.747,990.592,7.149,7.149,7.149,16,15.849,0.32,0.317,9.19,9.104,0.16,0.158,24.96,24.96,24.96,
2024-06-19 03,989.349,224,221.614,37.27,36.873,52.516,51.957,4.58,4.531,984.544,7.139,7.139,7.139,17,16.737,0.53,0.522,9.273,9.13,0.15,0.148,24.986,24.986,24.986,
2024-06-19 02,986.27,224,220.924,37.27,36.758,52.516,51.795,4.58,4.517,975.342,7.144,7.144,7.144,17,16.581,0.53,0.517,9.273,9.044,0.15,0.146,25.011,25.011,25.011,
2024-06-19 01,977.951,219,214.171,34.04,33.289,54.387,53.188,4.88,4.772,973.596,7.113,7.113,7.113,14,13.63,0.4,0.389,9.298,9.052,0.17,0.166,25.026,25.026,25.026,
2024-06-19 00,950.674,219,208.198,34.04,32.361,54.387,51.704,4.88,4.639,959.214,7.121,7.121,7.121,14,13.429,0.4,0.384,9.298,8.919,0.17,0.163,25.079,25.079,25.079,
2024-06-18 23,929.801,224,208.275,31.31,29.112,53.596,49.834,4.59,4.268,914.174,7.059,7.059,7.059,18,16.455,0.26,0.238,9.234,8.441,0.18,0.165,25.107,25.107,25.107,
2024-06-18 22,925.234,224,207.252,31.31,28.969,53.596,49.589,4.59,4.247,914.799,7.135,7.135,7.135,18,16.466,0.26,0.238,9.234,8.447,0.18,0.165,25.134,25.134,25.134,
2024-06-18 21,926.243,209,193.585,30.33,28.093,55.12,51.055,4.43,4.103,917.917,7.131,7.131,7.131,15,13.769,0.48,0.441,8.943,8.209,0.16,0.147,25.183,25.183,25.183,
2024-06-18 20,927.911,209,193.933,30.33,28.144,55.12,51.146,4.43,4.111,912.07,7.142,7.142,7.142,15,13.681,0.48,0.438,8.943,8.157,0.16,0.146,25.234,25.234,25.234,
2024-06-18 19,931.002,207,192.717,29.16,27.148,56.33,52.443,4.25,3.957,917.214,7.157,7.157,7.157,15,13.758,0.37,0.339,8.689,7.97,0.15,0.138,25.283,25.283,25.283,
2024-06-18 18,939.003,207,194.374,29.16,27.381,56.33,52.894,4.25,3.991,924.204,7.161,7.161,7.161,15,13.863,0.37,0.342,8.689,8.03,0.15,0.139,25.336,25.336,25.336,
2024-06-18 17,952.196,219,208.531,30.9,29.423,55.542,52.887,3.98,3.79,908.818,7.174,7.174,7.174,15,13.632,0.29,0.264,8.586,7.803,0.17,0.154,25.416,25.416,25.416,
2024-06-18 16,965.549,219,211.455,30.9,29.835,55.542,53.629,3.98,3.843,914.795,7.19,7.19,7.19,15,13.722,0.29,0.265,8.586,7.854,0.17,0.156,25.491,25.491,25.491,
2024-06-18 15,969.689,224,217.21,32.73,31.738,53.203,51.59,3.52,3.413,932.447,7.179,7.179,7.179,15,13.987,0.35,0.326,8.713,8.124,0.16,0.149,25.516,25.516,25.516,
2024-06-18 14,973.526,224,218.07,32.73,31.864,53.203,51.795,3.52,3.427,747.845,7.204,7.204,7.204,15,11.218,0.35,0.262,8.713,6.516,0.16,0.12,25.488,25.488,25.488,
2024-06-18 13,733.47,204,149.628,34.85,25.561,54.12,39.695,4.4,3.227,830.814,7.191,7.191,7.191,12,9.97,0.31,0.258,9.376,7.79,0.17,0.141,25.408,25.408,25.408,
2024-06-18 12,967.506,204,197.371,34.85,33.718,54.12,52.361,4.4,4.257,887.839,7.201,7.201,7.201,12,10.654,0.31,0.275,9.376,8.324,0.17,0.151,25.336,25.336,25.336,
2024-06-18 11,975.085,303,295.451,37.94,36.995,53.328,51.999,3.78,3.686,905.659,7.2,7.2,7.2,11,9.962,0.36,0.326,9.068,8.213,0.16,0.145,25.185,25.185,25.185,
2024-06-18 10,987.796,303,299.302,37.94,37.477,53.328,52.677,3.78,3.734,922.428,7.185,7.185,7.185,11,10.147,0.36,0.332,9.068,8.365,0.16,0.148,25.056,25.056,25.056,
2024-06-18 09,973.062,224,217.966,37.35,36.344,52.448,51.035,4.07,3.96,934.794,7.16,7.16,7.16,13,12.152,0.36,0.337,8.575,8.016,0.15,0.14,24.979,24.979,24.979,
2024-06-18 08,942.26,224,211.066,37.35,35.193,52.448,49.42,4.07,3.835,928.918,7.175,7.175,7.175,13,12.076,0.36,0.334,8.575,7.965,0.15,0.139,24.93,24.93,24.93,
2024-06-18 07,945.815,227,214.7,25.28,23.91,54.035,51.107,4.53,4.285,936.014,7.131,7.131,7.131,13,12.168,0.54,0.505,8.32,7.788,0.18,0.168,24.93,24.93,24.93,
2024-06-18 06,955.836,227,216.975,25.28,24.164,54.035,51.649,4.53,4.33,952.827,7.111,7.111,7.111,13,12.387,0.54,0.515,8.32,7.928,0.18,0.172,24.938,24.938,24.938,
2024-06-18 05,965.356,218,210.448,24.36,23.516,55.751,53.82,4.62,4.46,962.257,7.1,7.1,7.1,13,12.509,0.41,0.395,8.273,7.961,0.16,0.154,24.989,24.989,24.989,
2024-06-18 04,951.52,218,207.431,24.36,23.179,55.751,53.048,4.62,4.396,975.505,7.126,7.126,7.126,13,12.682,0.41,0.4,8.273,8.07,0.16,0.156,25.013,25.013,25.013,
2024-06-18 03,961.278,225,216.288,22.72,21.84,53.688,51.609,4.61,4.431,942.244,7.139,7.139,7.139,14,13.191,0.44,0.415,8.188,7.715,0.17,0.16,25.036,25.036,25.036,
2024-06-18 02,518.294,225,116.616,22.72,11.776,53.688,27.826,4.61,2.389,249.133,7.2,7.2,7.2,14,3.488,0.44,0.11,8.188,2.04,0.17,0.042,25.089,25.089,25.089,
2024-06-18 01,724.371,232,168.054,33.43,24.216,55.401,40.131,4.81,3.484,970.853,7.265,7.265,7.265,13,12.621,0.24,0.233,8.308,8.066,0.16,0.155,25.117,25.117,25.117,
2024-06-18 00,953.35,232,221.177,33.43,31.87,55.401,52.817,4.81,4.586,931.678,7.161,7.161,7.161,13,12.112,0.24,0.224,8.308,7.74,0.16,0.149,25.14,25.14,25.14,
2024-06-17 23,957.113,221,211.522,30.73,29.412,51.325,49.124,4.07,3.895,934.511,7.112,7.112,7.112,13,12.149,0.42,0.392,8.178,7.642,0.18,0.168,25.195,25.195,25.195,
2024-06-17 22,958.147,221,211.75,30.73,29.444,51.325,49.177,4.07,3.9,930.206,7.174,7.174,7.174,13,12.093,0.42,0.391,8.178,7.607,0.18,0.167,25.222,25.222,25.222,
2024-06-17 21,952.897,360,343.043,30.21,28.787,54.215,51.661,4.07,3.878,950.761,7.181,7.181,7.181,15,14.261,0.35,0.333,7.963,7.571,0.16,0.152,25.272,25.272,25.272,
2024-06-17 20,956.906,360,344.486,30.21,28.908,54.215,51.879,4.07,3.895,1018.595,7.166,7.166,7.166,15,15.279,0.35,0.357,7.963,8.111,0.16,0.163,25.319,25.319,25.319,
2024-06-17 19,968.678,228,220.859,32.56,31.54,52.299,50.661,4.51,4.369,980.054,7.165,7.165,7.165,13,12.741,0.49,0.48,7.843,7.687,0.17,0.167,25.369,25.369,25.369,
2024-06-17 18,967.504,228,220.591,32.56,31.502,52.299,50.599,4.51,4.363,1000.422,7.161,7.161,7.161,13,13.005,0.49,0.49,7.843,7.846,0.17,0.17,25.444,25.444,25.444,
2024-06-17 17,960.527,220,211.316,32.81,31.515,51.289,49.264,3.8,3.65,976.161,7.157,7.157,7.157,15,14.642,0.46,0.449,8.359,8.16,0.16,0.156,25.544,25.544,25.544,
2024-06-17 16,894.841,220,196.865,32.81,29.36,51.289,45.896,3.8,3.4,722.224,7.199,7.199,7.199,15,10.833,0.46,0.332,8.359,6.037,0.16,0.116,25.62,25.62,25.62,
2024-06-17 15,832.381,220,183.124,36.03,29.991,51.952,43.244,3.74,3.113,863.475,7.132,7.132,7.132,13,11.225,0.37,0.319,8.396,7.25,0.18,0.155,25.626,25.626,25.626,
2024-06-17 14,990.748,220,217.965,36.03,35.697,51.952,51.471,3.74,3.705,928.517,7.141,7.141,7.141,13,12.071,0.37,0.344,8.396,7.796,0.18,0.167,25.574,25.574,25.574,
2024-06-17 13,784.749,230,180.492,35.17,27.6,54.073,42.434,4.28,3.359,464.588,7.185,7.185,7.185,15,6.969,0.45,0.209,8.589,3.99,0.16,0.074,25.446,25.446,25.446,
2024-06-17 12,676.512,230,155.598,35.17,23.793,54.073,36.581,4.28,2.895,861.696,7.316,7.316,7.316,15,12.925,0.45,0.388,8.589,7.401,0.16,0.138,25.237,25.237,25.237,
2024-06-17 11,930.719,217,201.966,37.26,34.679,52.634,48.987,3.8,3.537,889.898,7.199,7.199,7.199,12,10.679,0.23,0.205,8.561,7.618,0.15,0.133,25.136,25.136,25.136,
2024-06-17 10,671.867,217,145.795,37.26,25.034,52.634,35.363,3.8,2.553,616.071,7.222,7.222,7.222,12,7.393,0.23,0.142,8.561,5.274,0.15,0.092,25.034,25.034,25.034,
2024-06-17 09,989.562,224,221.662,37.36,36.97,52.82,52.269,3.41,3.374,965.814,7.168,7.168,7.168,11,10.624,0.42,0.406,8.658,8.362,0.17,0.164,24.851,24.851,24.851,
2024-06-17 08,1031.007,224,230.946,37.36,38.518,52.82,54.458,3.41,3.516,987.19,7.203,7.203,7.203,11,10.859,0.42,0.415,8.658,8.547,0.17,0.168,24.778,24.778,24.778,
2024-06-17 07,700.228,318,222.673,37.69,26.392,51.653,36.169,4.15,2.906,172.304,7.202,7.202,7.202,14,2.412,0.4,0.069,8.584,1.479,0.18,0.031,24.749,24.749,24.749,
2024-06-17 06,64.268,318,20.437,37.69,2.422,51.653,3.32,4.15,0.267,0,7.235,7.235,7.235,14,0,0.4,0,8.584,0,0.18,0,24.747,24.747,24.747,停排 
2024-06-17 05,263.112,217,57.095,38.1,10.025,53.234,14.007,3.86,1.016,529.343,7.295,7.295,7.295,13,6.881,0.37,0.196,8.198,4.34,0.16,0.085,24.779,24.779,24.779,
2024-06-17 04,987.747,217,214.341,38.1,37.633,53.234,52.582,3.86,3.813,962.203,7.162,7.162,7.162,13,12.509,0.37,0.356,8.198,7.888,0.16,0.154,24.805,24.805,24.805,
2024-06-17 03,985.65,404,398.203,37.84,37.297,52.033,51.286,3.31,3.263,953.683,7.174,7.174,7.174,13,12.398,0.32,0.305,8.115,7.739,0.17,0.162,24.804,24.804,24.804,
2024-06-17 02,982.198,404,396.808,37.84,37.166,52.033,51.107,3.31,3.251,949.54,7.159,7.159,7.159,13,12.344,0.32,0.304,8.115,7.706,0.17,0.161,24.829,24.829,24.829,
2024-06-17 01,976.678,230,224.636,37.61,36.733,50.311,49.138,4,3.907,943.311,7.182,7.182,7.182,16,15.093,0.41,0.387,7.856,7.411,0.16,0.151,24.825,24.825,24.825,
2024-06-17 00,968.531,230,222.762,37.61,36.426,50.311,48.728,4,3.874,940.863,7.167,7.167,7.167,16,15.054,0.41,0.386,7.856,7.391,0.16,0.151,24.827,24.827,24.827,
2024-06-16 23,958.121,374,358.337,37.87,36.284,50.888,48.757,3.19,3.056,932.282,7.168,7.168,7.168,13,12.12,0.39,0.364,7.619,7.103,0.15,0.14,24.86,24.86,24.86,
2024-06-16 22,937.155,374,350.496,37.87,35.49,50.888,47.69,3.19,2.99,934.524,7.145,7.145,7.145,13,12.149,0.39,0.364,7.619,7.12,0.15,0.14,24.936,24.936,24.936,
2024-06-16 21,935.127,227,212.274,37.29,34.871,52.922,49.489,3.53,3.301,939.916,7.206,7.206,7.206,16,15.039,0.41,0.385,7.598,7.141,0.18,0.169,25.258,25.258,25.258,
2024-06-16 20,972.056,227,220.657,37.29,36.248,52.922,51.443,3.53,3.431,973.807,7.202,7.202,7.202,16,15.581,0.41,0.399,7.598,7.399,0.18,0.175,24.989,24.989,24.989,
2024-06-16 19,980.56,229,224.548,35.65,34.957,54.443,53.385,4.19,4.109,991.39,7.152,7.152,7.152,13,12.888,0.42,0.416,7.455,7.391,0.16,0.159,25.081,25.081,25.081,
2024-06-16 18,975.084,229,223.294,35.65,34.762,54.443,53.086,4.19,4.086,925.836,7.174,7.174,7.174,13,12.036,0.42,0.389,7.455,6.902,0.16,0.148,25.093,25.093,25.093,
2024-06-16 17,966.637,221,213.627,38.32,37.042,53.688,51.897,3.53,3.412,942.593,7.164,7.164,7.164,14,13.196,0.45,0.424,7.26,6.843,0.15,0.141,25.121,25.121,25.121,
2024-06-16 16,955.208,221,211.101,38.32,36.604,53.688,51.283,3.53,3.372,980.472,7.168,7.168,7.168,14,13.727,0.45,0.441,7.26,7.118,0.15,0.147,25.148,25.148,25.148,
2024-06-16 15,960.766,230,220.976,36.82,35.375,53.109,51.025,3.04,2.921,914.784,7.179,7.179,7.179,14,12.807,0.41,0.375,7.408,6.777,0.17,0.156,25.147,25.147,25.147,
2024-06-16 14,945.071,230,217.366,36.82,34.798,53.109,50.192,3.04,2.873,946.382,7.175,7.175,7.175,14,13.249,0.41,0.388,7.408,7.011,0.17,0.161,25.174,25.174,25.174,
2024-06-16 13,972.878,229,222.789,37.52,36.502,51.058,49.673,4.07,3.96,953.281,7.189,7.189,7.189,15,14.299,0.36,0.343,7.448,7.1,0.15,0.143,25.167,25.167,25.167,
2024-06-16 12,948.146,229,217.125,37.52,35.574,51.058,48.41,4.07,3.859,937.174,7.203,7.203,7.203,15,14.058,0.36,0.337,7.448,6.98,0.15,0.141,25.198,25.198,25.198,
2024-06-16 11,948.515,225,213.416,39.18,37.163,55.12,52.282,3.72,3.528,940.709,7.198,7.198,7.198,15,14.111,0.4,0.376,7.743,7.284,0.16,0.151,25.199,25.199,25.199,
